startstation,endstation,trips
Grant Avenue at Columbus Avenue,Embarcadero at Folsom,239
2nd at Folsom,2nd at South Park,238
Temporary Transbay Terminal (Howard at Beale),5th at Howard,238
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Sansome,238
2nd at South Park,Howard at 2nd,236
San Jose Diridon Caltrain Station,Paseo de San Antonio,236
Davis at Jackson,Embarcadero at Sansome,236
Market at Sansome,2nd at Folsom,235
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),234
Embarcadero at Sansome,2nd at Townsend,233
Market at Sansome,2nd at Townsend,233
Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),232
Embarcadero at Bryant,Embarcadero at Vallejo,232
San Francisco Caltrain (Townsend at 4th),Market at 4th,232
Golden Gate at Polk,San Francisco Caltrain (Townsend at 4th),231
Townsend at 7th,2nd at Townsend,230
Harry Bridges Plaza (Ferry Building),Townsend at 7th,230
San Pedro Square,San Jose Diridon Caltrain Station,229
Steuart at Market,Spear at Folsom,227
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),226
Market at Sansome,Grant Avenue at Columbus Avenue,224
Market at 4th,San Francisco Caltrain 2 (330 Townsend),223
Beale at Market,2nd at Townsend,222
Civic Center BART (7th at Market),San Francisco Caltrain (Townsend at 4th),221
Embarcadero at Folsom,2nd at Townsend,221
Commercial at Montgomery,Harry Bridges Plaza (Ferry Building),220
Howard at 2nd,2nd at Townsend,220
2nd at Folsom,2nd at Townsend,219
2nd at Townsend,Howard at 2nd,219
Market at 10th,Market at Sansome,219
2nd at South Park,San Francisco Caltrain 2 (330 Townsend),218
Harry Bridges Plaza (Ferry Building),Commercial at Montgomery,218
2nd at South Park,Temporary Transbay Terminal (Howard at Beale),217
Market at 4th,Market at 4th,216
Civic Center BART (7th at Market),Market at 4th,215
Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),214
Market at Sansome,Commercial at Montgomery,214
Powell at Post (Union Square),Howard at 2nd,212
San Francisco Caltrain (Townsend at 4th),Clay at Battery,211
Temporary Transbay Terminal (Howard at Beale),2nd at South Park,211
Embarcadero at Sansome,Market at Sansome,210
Powell Street BART,Civic Center BART (7th at Market),208
Clay at Battery,Temporary Transbay Terminal (Howard at Beale),207
Powell at Post (Union Square),Embarcadero at Sansome,207
San Francisco Caltrain (Townsend at 4th),Mechanics Plaza (Market at Battery),206
Commercial at Montgomery,Powell Street BART,205
Market at 4th,Townsend at 7th,205
Embarcadero at Sansome,Embarcadero at Folsom,204
Powell at Post (Union Square),Powell at Post (Union Square),203
Market at Sansome,Steuart at Market,203
2nd at Townsend,Spear at Folsom,201
Grant Avenue at Columbus Avenue,Mechanics Plaza (Market at Battery),199
Civic Center BART (7th at Market),Market at 10th,199
Embarcadero at Sansome,Embarcadero at Vallejo,198
San Francisco Caltrain (Townsend at 4th),Beale at Market,197
San Jose City Hall,San Salvador at 1st,197
Howard at 2nd,San Francisco Caltrain 2 (330 Townsend),197
Paseo de San Antonio,San Jose Diridon Caltrain Station,196
San Francisco Caltrain (Townsend at 4th),Embarcadero at Vallejo,195
Clay at Battery,San Francisco Caltrain (Townsend at 4th),193
San Francisco Caltrain (Townsend at 4th),Powell Street BART,192
Embarcadero at Sansome,Powell Street BART,192
2nd at South Park,Market at 4th,192
Temporary Transbay Terminal (Howard at Beale),Commercial at Montgomery,191
2nd at Townsend,Embarcadero at Folsom,190
San Salvador at 1st,MLK Library,190
Market at 4th,Steuart at Market,190
Embarcadero at Bryant,Steuart at Market,188
Townsend at 7th,Powell Street BART,188
Temporary Transbay Terminal (Howard at Beale),Clay at Battery,188
Beale at Market,Temporary Transbay Terminal (Howard at Beale),188
Embarcadero at Vallejo,Beale at Market,188
Grant Avenue at Columbus Avenue,Market at 4th,187
Temporary Transbay Terminal (Howard at Beale),Market at 4th,186
Post at Kearney,Washington at Kearney,186
Grant Avenue at Columbus Avenue,Steuart at Market,186
Embarcadero at Vallejo,Embarcadero at Vallejo,185
Embarcadero at Vallejo,Embarcadero at Bryant,184
Powell Street BART,Townsend at 7th,183
2nd at Townsend,2nd at Townsend,183
Embarcadero at Sansome,Beale at Market,182
San Francisco Caltrain 2 (330 Townsend),Market at Sansome,181
2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),181
Adobe on Almaden,San Jose Diridon Caltrain Station,180
Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),180
Market at 10th,Market at 10th,180
2nd at Folsom,Harry Bridges Plaza (Ferry Building),179
Temporary Transbay Terminal (Howard at Beale),Harry Bridges Plaza (Ferry Building),179
Commercial at Montgomery,Davis at Jackson,178
Townsend at 7th,Temporary Transbay Terminal (Howard at Beale),178
Steuart at Market,Howard at 2nd,178
Embarcadero at Sansome,Davis at Jackson,177
Powell Street BART,Market at Sansome,177
Embarcadero at Sansome,Embarcadero at Bryant,177
Spear at Folsom,Harry Bridges Plaza (Ferry Building),176
Commercial at Montgomery,San Francisco Caltrain (Townsend at 4th),176
Embarcadero at Vallejo,Steuart at Market,176
San Jose Diridon Caltrain Station,Adobe on Almaden,175
Embarcadero at Sansome,Mechanics Plaza (Market at Battery),175
Powell at Post (Union Square),San Francisco Caltrain (Townsend at 4th),174
2nd at Townsend,2nd at Folsom,173
Commercial at Montgomery,Market at 4th,171
Embarcadero at Sansome,Spear at Folsom,171
Beale at Market,Embarcadero at Vallejo,170
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Vallejo,169
San Francisco Caltrain 2 (330 Townsend),Steuart at Market,168
Embarcadero at Bryant,Embarcadero at Bryant,168
Powell Street BART,Embarcadero at Sansome,167
Embarcadero at Sansome,Clay at Battery,167
Harry Bridges Plaza (Ferry Building),2nd at South Park,167
2nd at Townsend,Townsend at 7th,167
Market at 10th,Civic Center BART (7th at Market),166
Market at 4th,Civic Center BART (7th at Market),166
Market at 4th,Market at Sansome,164
Mechanics Plaza (Market at Battery),Temporary Transbay Terminal (Howard at Beale),164
Market at Sansome,Market at 4th,164
Howard at 2nd,Steuart at Market,163
Commercial at Montgomery,Embarcadero at Bryant,163
Embarcadero at Folsom,Embarcadero at Bryant,163
Embarcadero at Sansome,Powell at Post (Union Square),162
Harry Bridges Plaza (Ferry Building),Mechanics Plaza (Market at Battery),161
2nd at South Park,Townsend at 7th,161
Embarcadero at Sansome,Grant Avenue at Columbus Avenue,160
Market at Sansome,South Van Ness at Market,160
Market at Sansome,Powell Street BART,159
Mountain View Caltrain Station,Evelyn Park and Ride,159
San Francisco Caltrain (Townsend at 4th),Grant Avenue at Columbus Avenue,158
Embarcadero at Vallejo,2nd at Townsend,158
Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue,158
Post at Kearney,Harry Bridges Plaza (Ferry Building),158
San Francisco Caltrain (Townsend at 4th),Commercial at Montgomery,157
Mechanics Plaza (Market at Battery),Steuart at Market,156
San Francisco Caltrain (Townsend at 4th),Market at 10th,156
Spear at Folsom,2nd at South Park,156
2nd at Townsend,Embarcadero at Vallejo,155
Beale at Market,Spear at Folsom,155
Mechanics Plaza (Market at Battery),Harry Bridges Plaza (Ferry Building),154
Evelyn Park and Ride,Mountain View Caltrain Station,154
2nd at South Park,Post at Kearney,154
Powell at Post (Union Square),Harry Bridges Plaza (Ferry Building),153
Harry Bridges Plaza (Ferry Building),Grant Avenue at Columbus Avenue,153
San Francisco Caltrain (Townsend at 4th),South Van Ness at Market,153
Harry Bridges Plaza (Ferry Building),Powell at Post (Union Square),152
Embarcadero at Bryant,2nd at Townsend,152
Steuart at Market,Embarcadero at Vallejo,152
Market at 4th,Spear at Folsom,151
San Francisco Caltrain 2 (330 Townsend),Howard at 2nd,150
Powell Street BART,Powell Street BART,150
Post at Kearney,Grant Avenue at Columbus Avenue,150
Palo Alto Caltrain Station,Cowper at University,149
2nd at Folsom,Market at 4th,149
Davis at Jackson,Davis at Jackson,149
Clay at Battery,Embarcadero at Sansome,149
Steuart at Market,Steuart at Market,148
Civic Center BART (7th at Market),Embarcadero at Sansome,148
Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),148
Harry Bridges Plaza (Ferry Building),Post at Kearney,148
Harry Bridges Plaza (Ferry Building),Spear at Folsom,148
2nd at South Park,5th at Howard,147
Townsend at 7th,Market at 4th,147
2nd at South Park,2nd at South Park,146
Powell at Post (Union Square),Market at 10th,146
Beale at Market,Commercial at Montgomery,146
Steuart at Market,Market at 4th,144
Temporary Transbay Terminal (Howard at Beale),Market at Sansome,143
Steuart at Market,2nd at South Park,143
Howard at 2nd,Market at Sansome,143
Mechanics Plaza (Market at Battery),Embarcadero at Sansome,143
Harry Bridges Plaza (Ferry Building),Powell Street BART,142
Commercial at Montgomery,Beale at Market,142
